# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.housekeeperTimeSpentMs,1717348484537000000,1717348493918000000,0
StorageLockContext.competingThreads.max,1717348484537000000,1717348493918000000,0
FilePageCache.pageFastCacheHits,1717348484537000000,1717348493918000000,120
DirectByteBufferAllocator.disposed,1717348484537000000,1717348493918000000,211
FilePageCacheLockFree.totalBytesRequested,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1717348484537000000,1717348493918000000,0
FilePageCache.pageLoads,1717348484537000000,1717348493918000000,0
StorageLockContext.competingThreads.avg,1717348484537000000,1717348493918000000,0.0
MappedFileStorage.totalPagesMapped,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalPagesWritten,1717348484537000000,1717348493918000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1717348484537000000,1717348493918000000,0
FilePageCache.pageHits,1717348484537000000,1717348493918000000,0
DirectByteBufferAllocator.reclaimed,1717348484537000000,1717348493918000000,42
FilePageCacheLockFree.totalNativeBytesAllocated,1717348484537000000,1717348493918000000,0
FilePageCache.totalPageLoadsUs,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.nativeBytesInUse,1717348484537000000,1717348493918000000,0
DirectByteBufferAllocator.misses,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1717348484537000000,1717348493918000000,0
DirectByteBufferAllocator.hits,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1717348484537000000,1717348493918000000,0
